name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description
C3	EEG	µV	0.0	512.0	ElectroEncephaloGram	1024.0	good	n/a
Cz	EEG	µV	0.0	512.0	ElectroEncephaloGram	1024.0	good	n/a
TP7	EEG	µV	0.0	512.0	ElectroEncephaloGram	1024.0	good	n/a
CP5	EEG	µV	0.0	512.0	ElectroEncephaloGram	1024.0	good	n/a
CP3	EEG	µV	0.0	512.0	ElectroEncephaloGram	1024.0	good	n/a
CP1	EEG	µV	0.0	512.0	ElectroEncephaloGram	1024.0	good	n/a
CPz	EEG	µV	0.0	512.0	ElectroEncephaloGram	1024.0	good	n/a
P9	EEG	µV	0.0	512.0	ElectroEncephaloGram	1024.0	good	n/a
P7	EEG	µV	0.0	512.0	ElectroEncephaloGram	1024.0	good	n/a
P5	EEG	µV	0.0	512.0	ElectroEncephaloGram	1024.0	good	n/a
P3	EEG	µV	0.0	512.0	ElectroEncephaloGram	1024.0	good	n/a
P1	EEG	µV	0.0	512.0	ElectroEncephaloGram	1024.0	good	n/a
Pz	EEG	µV	0.0	512.0	ElectroEncephaloGram	1024.0	good	n/a
PO7	EEG	µV	0.0	512.0	ElectroEncephaloGram	1024.0	good	n/a
PO3	EEG	µV	0.0	512.0	ElectroEncephaloGram	1024.0	good	n/a
POz	EEG	µV	0.0	512.0	ElectroEncephaloGram	1024.0	good	n/a
O1	EEG	µV	0.0	512.0	ElectroEncephaloGram	1024.0	good	n/a
Oz	EEG	µV	0.0	512.0	ElectroEncephaloGram	1024.0	good	n/a
O2	EEG	µV	0.0	512.0	ElectroEncephaloGram	1024.0	good	n/a
PO8	EEG	µV	0.0	512.0	ElectroEncephaloGram	1024.0	good	n/a
PO4	EEG	µV	0.0	512.0	ElectroEncephaloGram	1024.0	good	n/a
P10	EEG	µV	0.0	512.0	ElectroEncephaloGram	1024.0	good	n/a
P8	EEG	µV	0.0	512.0	ElectroEncephaloGram	1024.0	good	n/a
P6	EEG	µV	0.0	512.0	ElectroEncephaloGram	1024.0	good	n/a
P4	EEG	µV	0.0	512.0	ElectroEncephaloGram	1024.0	good	n/a
P2	EEG	µV	0.0	512.0	ElectroEncephaloGram	1024.0	good	n/a
TP8	EEG	µV	0.0	512.0	ElectroEncephaloGram	1024.0	good	n/a
CP6	EEG	µV	0.0	512.0	ElectroEncephaloGram	1024.0	good	n/a
CP4	EEG	µV	0.0	512.0	ElectroEncephaloGram	1024.0	good	n/a
CP2	EEG	µV	0.0	512.0	ElectroEncephaloGram	1024.0	good	n/a
C4	EEG	µV	0.0	512.0	ElectroEncephaloGram	1024.0	good	n/a
